uid,species,latitude,longitude,EVI,NDVI,SAVI
1416,Musa,-0.5502637,37.3987362,0.7339173282233781,0.42467923332805324,0.6369179600886918
2247,Grevillea,-0.5502517,37.3993833,0.9642405274022774,0.5112994350282486,0.7668137687555163
2248,Grevillea,-0.5502308,37.3992504,0.9713590055744217,0.5126817720662834,0.7688926458157227
1379,Musa,-0.5502233,37.3990799,0.95478231635569,0.5083532219570406,0.7624161073825504
2249,Grevillea,-0.5502012,37.3991776,0.9713590055744217,0.5126817720662834,0.7688926458157227
1319,Musa,-0.5501984,37.3992281,0.9713590055744217,0.5126817720662834,0.7688926458157227
2567,Grevillea,-0.5501888,37.3993613,0.9713590055744217,0.5126817720662834,0.7688926458157227
1413,Musa,-0.5501714,37.3993504,0.9713590055744217,0.5126817720662834,0.7688926458157227
2568,Grevillea,-0.5501546,37.3993928,0.9642405274022774,0.5112994350282486,0.7668137687555163
2145,Grevillea,-0.5501499,37.3990289,0.95478231635569,0.5083532219570406,0.7624161073825504
2246,Grevillea,-0.5501372,37.3994769,0.9642405274022774,0.5112994350282486,0.7668137687555163
2480,Grevillea,-0.550137,37.3992339,0.9713590055744217,0.5126817720662834,0.7688926458157227
2144,Grevillea,-0.5501215,37.3991015,0.95478231635569,0.5083532219570406,0.7624161073825504
2432,Grevillea,-0.5500565,37.399435,0.9642405274022774,0.5112994350282486,0.7668137687555163
2143,Grevillea,-0.5500484,37.399189,0.9713590055744217,0.5126817720662834,0.7688926458157227
2320,Grevillea,-0.5500408,37.399527,0.9642405274022774,0.5112994350282486,0.7668137687555163
2479,Grevillea,-0.5500332,37.3993682,0.8272718456017846,0.4697136563876652,0.7044735030970406
2566,Grevillea,-0.5499915,37.3996265,0.8250013964140088,0.4665192672141503,0.6996684036001894
2142,Grevillea,-0.5499884,37.3995812,0.8250013964140088,0.4665192672141503,0.6996684036001894
2377,Grevillea,-0.5154894,36.9392087,1.4618437804238749,0.6264441591784339,0.939515482111343
2378,Grevillea,-0.515489,36.9391924,1.4618437804238749,0.6264441591784339,0.939515482111343
1321,Musa,-0.5154188,36.939135,1.4618437804238749,0.6264441591784339,0.939515482111343
1455,Musa,-0.5154107,36.9392468,1.4618437804238749,0.6264441591784339,0.939515482111343
1454,Musa,-0.5153607,36.9393857,1.6897739314729776,0.6603968938740293,0.990424430641822
1453,Musa,-0.5153448,36.9392613,1.4618437804238749,0.6264441591784339,0.939515482111343
1457,Musa,-0.5153367,36.93928,1.4618437804238749,0.6264441591784339,0.939515482111343
1456,Musa,-0.5152933,36.9392762,1.4618437804238749,0.6264441591784339,0.939515482111343
1460,Musa,-0.5152557,36.9392497,1.306841182026717,0.6184546615581098,0.9275339185953712
1458,Musa,-0.5151949,36.9393561,1.372657111356119,0.632729120786041,0.9489329268292682
1459,Musa,-0.5151852,36.9393154,1.306841182026717,0.6184546615581098,0.9275339185953712
2266,Grevillea,-0.5151445,36.938968,1.945633222380726,0.7815982171283031,1.1722107273595417
1322,Musa,-0.515103,36.9390555,1.945633222380726,0.7815982171283031,1.1722107273595417
1463,Musa,-0.5150522,36.9395284,1.372657111356119,0.632729120786041,0.9489329268292682
1323,Musa,-0.5150414,36.9392319,1.306841182026717,0.6184546615581098,0.9275339185953712
1461,Musa,-0.5150364,36.9390388,1.945633222380726,0.7815982171283031,1.1722107273595417
1462,Musa,-0.5150339,36.9393052,1.306841182026717,0.6184546615581098,0.9275339185953712
2265,Grevillea,-0.5150208,36.9389493,1.945633222380726,0.7815982171283031,1.1722107273595417
1474,Musa,-0.4938225,37.1057739,1.2748707781632798,0.6158713870360869,0.9236491108071135
1507,Musa,-0.4937747,37.105853,1.2748707781632798,0.6158713870360869,0.9236491108071135
1477,Musa,-0.4937328,37.1059094,1.5645049084022573,0.6411149825783972,0.9615201900237531
2446,Grevillea,-0.4937241,37.1059499,1.5645049084022573,0.6411149825783972,0.9615201900237531
2387,Grevillea,-0.4936925,37.105972,1.5139538635263752,0.6713161659513591,1.00679420704452
2388,Grevillea,-0.4936538,37.1062366,1.3985809682804675,0.6236739251814629,0.9353368068477856
1506,Musa,-0.49362,37.1059413,1.5139538635263752,0.6713161659513591,1.00679420704452
1472,Musa,-0.493522,37.1056871,1.3523746507866492,0.6333275951110346,0.949827882960413
2386,Grevillea,-0.493505,37.1058217,1.3523746507866492,0.6333275951110346,0.949827882960413
1326,Musa,-0.4934544,37.1060764,1.5139538635263752,0.6713161659513591,1.00679420704452
2514,Grevillea,-0.4934236,37.1056692,1.2720340042505311,0.6054745611425171,0.9080767514502455
2515,Grevillea,-0.4934173,37.1058535,1.2720340042505311,0.6054745611425171,0.9080767514502455
1325,Musa,-0.4934111,37.1060382,1.2624774503908598,0.6021798365122616,0.9031402351591625
1470,Musa,-0.4933452,37.1059862,1.2624774503908598,0.6021798365122616,0.9031402351591625
1480,Musa,-0.4932334,37.1062238,1.5625238422217136,0.6091612135633552,0.9136059479553904
2512,Grevillea,-0.4932115,37.1055431,1.121633255442135,0.549894482966536,0.8247174076865109
1476,Musa,-0.493164,37.1061235,1.1724015608371763,0.5657631954350927,0.8485237483953787
1478,Musa,-0.4931633,37.1061201,1.1724015608371763,0.5657631954350927,0.8485237483953787
